model,device,n_records,n_outputs,n_recall_valid,entity_recall_mean,count_exact_mean,count_mae_mean,caption_sim_max_mean,caption_sim_max_median,caption_sim_mean_mean,clipscore_cos_mean,latency_ms_mean,latency_ms_p50,latency_ms_p90,latency_ms_p99,gen_len_mean,tokens_per_sec_mean,power_watts_avg_mean,power_watts_peak_mean,energy_joules_mean,energy_per_token_mj_mean,gpu_mem_gb_peak_mean,duration_seconds_mean,cpu_percent_avg_mean,hw_source
gemma3n,dell,2500,12500,12400,0.5682850806451613,0.42192762096774195,0.6032369304556355,0.6475660411906242,0.6690261960029602,0.5535771459150315,0.27200480103999375,4131.634104,4195.950000000001,5687.97,6887.933000000001,52.3024,12.585282560000001,26.6508212,31.608456800000003,547.0149200000001,10458.696350454282,15.029,20.6591352,3.5510800000000002,pynvml
gemma3n,thor,2500,12500,12400,0.5692298387096774,0.4278459677419355,0.5719947115384616,0.6479684503853321,0.6675874888896942,0.5537226197963953,0.2723630807489157,3741.8503680000003,3820.35,5139.33,6208.823,52.3608,13.90884192,59.4929964,93.4134936,1112.404908,21244.99449970207,15.027,18.747170399999998,6.43536,tegrastats_thor
internvl2_2b,dell,2500,12500,12400,0.5329463709677419,0.20689435483870966,1.132625847457627,0.6093740871353447,0.6441334187984467,0.5157997004365735,0.2553496762150526,1541.553976,1375.9499999999998,2442.6100000000006,4788.001,62.0228,39.0547112,31.2321288,32.732234399999996,238.211512,3840.70877161302,5.237999200000001,7.7086407999999995,2.4362,pynvml
internvl2_2b,orin,2500,12500,12400,0.5287454032258064,0.21042318548387098,1.1923983263598326,0.608894985659793,0.6416117548942566,0.5145406396695785,0.25519355922341347,4086.5467839999997,3654.65,6488.56,12646.806,62.4456,14.906916399999998,26.0559324,,523.553056,8384.146457076238,5.2374216,20.456734,8.30712,tegrastats_orin
internvl2_2b,thor,2500,12500,12400,0.5334896370967742,0.20534899193548387,1.2422021459227468,0.6090194414126873,0.643035888671875,0.5157453638750268,0.25592462829232215,1435.350816,1281.3000000000002,2257.8700000000003,4450.601,61.6428,41.45947256,65.8618144,94.40979279999999,471.872536,7654.949742711234,5.2379632,7.2120543999999995,5.67552,tegrastats_thor
moondream,dell,2500,12500,12400,0.5699889919354839,0.42849310483870967,1.3211893246187363,0.6413431722414493,0.6565217971801758,0.543794503493607,0.26416366025149823,916.846624,890.9,1215.1300000000003,1601.0140000000004,38.058,41.78103624,39.2023728,43.955766,178.42674399999999,4688.28482841978,4.433764,4.5849476000000005,2.03232,pynvml
moondream,orin,2500,12500,12400,0.5691810725806452,0.4281288306451612,1.3353559860687854,0.6415504402220249,0.6571028828620911,0.5443091245502234,0.26395978991389274,1979.8368,1929.35,2605.01,3485.5290000000005,38.10208,19.3925252,32.0883712,,315.66873599999997,8284.816366980489,4.433764,9.922352400000001,7.293480000000001,tegrastats_orin
moondream,thor,2500,12500,12400,0.5703476693548387,0.42786237903225804,1.3357427010489509,0.6422470946311951,0.6578319668769836,0.5449011260923743,0.2643451812881231,867.8572879999999,848.0999999999999,1137.0,1546.2,38.12136,44.19544096,69.4487042817127,130.65674109643857,302.4676590636255,7934.335476583875,4.433764,4.372249699879952,5.333653461384554,tegrastats_thor
smolvlm2,dell,2500,12500,12400,0.5847654435483871,0.01440100806451613,1.088235294117647,0.6420806321671605,0.6669229865074158,0.5414661942100525,0.26265255464345216,2018.571664,1964.6999999999998,2704.82,3219.823000000001,34.6264,16.38298528,38.3137116,47.7865348,382.78978,11054.85352216806,6.821839999999999,10.093723200000001,1.8634,pynvml
smolvlm2,orin,2500,12500,12400,0.5865142338709677,0.022465524193548386,0.9,0.6432668247589469,0.6689679324626923,0.5431427498245239,0.2626035386300087,4011.8028560000002,3867.15,5467.22,6482.732000000003,34.6972,8.24471456,35.9234332,,711.886236,20517.1090462631,6.821839999999999,20.084792,5.52,tegrastats_orin
smolvlm2,thor,2500,12500,12400,0.5811285080645161,0.01910524193548387,0.9166681818181818,0.6411794241821765,0.6681757569313049,0.5408546791726351,0.2625811756798625,1979.3767119999998,1926.1499999999999,2582.13,3076.6320000000005,34.7108,16.77596048,76.45581999999999,128.017636,754.408588,21734.116989524875,6.821839999999999,9.9355376,3.4956400000000003,tegrastats_thor
