model,device,n_image_task_pairs,mean_stability,median_stability,min_stability,p5_stability,p10_stability,frac_below_0_85,frac_below_0_90,frac_below_0_95
gemma3n,dell,2500,1.0000000383710859,1.0,0.9999999523162841,1.0,1.0,0.0,0.0,0.0
gemma3n,thor,2500,1.0000000376558302,1.0,0.9999999284744263,1.0,1.0,0.0,0.0,0.0
internvl2_2b,dell,2500,1.000000035266876,1.0,0.9999999642372132,1.0,1.0,0.0,0.0,0.0
internvl2_2b,orin,2500,1.0000000361585617,1.0,0.9999999761581421,1.0,1.0,0.0,0.0,0.0
internvl2_2b,thor,2500,1.0000000344991684,1.0,0.9999999284744263,1.0,1.0,0.0,0.0,0.0
moondream,dell,2500,0.9881446797776223,1.0,0.7066476106643677,0.9293053752183914,0.957135027050972,0.0052,0.0256,0.0832
moondream,orin,2500,0.987844972257614,1.0,0.6798230409622192,0.9272631967067718,0.9556129443645478,0.0076,0.02,0.0876
moondream,thor,2500,0.9881221036696434,1.0,0.7353424489498138,0.9334589958190919,0.9564262163639069,0.0088,0.0264,0.0796
smolvlm2,dell,2500,1.0000000372266769,1.0,0.9999999284744263,1.0,1.0,0.0,0.0,0.0
smolvlm2,orin,2500,1.0000000381231309,1.0,0.9999999761581421,1.0,1.0,0.0,0.0,0.0
smolvlm2,thor,2500,1.0000000380706788,1.0,0.9999999284744263,1.0,1.0,0.0,0.0,0.0
