run_dir,device,model_key,model_id,family,dtype,run_group,num_images,num_tasks,num_errors,lat_ms_mean,lat_ms_p50,lat_ms_p90,ips_mean,ips_p50,ips_p90,avg_power_w,power_available,ips_per_watt,joules_per_image,success_rate_pct,params_b
dell_output/gemma3n/test_bf16_500img_20260108_231557,dell,gemma3n,google/gemma-3n-E4B-it,gemma,bf16,test_bf16_20260108_231557,500,5,0,4700.713,4715.834,5868.93,0.221,0.212,0.282,,True,,,100.0,
dell_output/internvl/test_bf16_500_20260116_071428,dell,internvl,OpenGVLab/InternVL2-2B,internvl,bf16,test_bf16_500_20260116_071428,500,5,0,2329.657,2264.635,3477.069,0.502,0.442,0.782,,True,,,100.0,
dell_output/internvl/test_fp16_500_20260114_214335,dell,internvl,OpenGVLab/InternVL2-2B,internvl,fp16,test_fp16_500_20260114_214335,500,5,0,2279.697,2207.953,3364.95,0.51,0.453,0.78,,True,,,100.0,
dell_output/llava/test_bf16_500img_20260109_171444,dell,llava,ICTNLP/llava-mini-llama-3.1-8b,llava,bf16,test_bf16_20260109_171444,500,5,0,8072.148,9725.389,9757.608,0.186,0.103,0.443,,True,,,100.0,
dell_output/llava/test_fp16_500_20260116_123830,dell,llava,ICTNLP/llava-mini-llama-3.1-8b,llava,fp16,test_fp16_500_20260116_123830,500,5,0,8073.569,9726.14,9759.947,0.186,0.103,0.442,,True,,,100.0,
dell_output/moondream2/moondream2_bf16_500img_20260111_185915,dell,moondream2,vikhyatk/moondream2,moondream,bf16,moondream2_bf16_500img_20260111_185915,500,5,0,953.583,928.946,1254.777,1.118,1.077,1.516,,True,,,100.0,
dell_output/moondream2/moondream2_fp16_500img_20260111_131138,dell,moondream2,vikhyatk/moondream2,moondream,fp16,moondream2_fp16_500img_20260111_131138,500,5,0,951.723,926.366,1249.582,1.12,1.08,1.518,,True,,,100.0,
dell_output/phi/phi_bf16_500img_20260110_223305,dell,phi,microsoft/Phi-3.5-vision-instruct,phi,bf16,phi_bf16_500img_20260110_223305,500,5,0,7739.104,6850.67,12253.929,0.147,0.146,0.208,,True,,,100.0,
dell_output/phi/phi_fp16_500img_20260111_071845,dell,phi,microsoft/Phi-3.5-vision-instruct,phi,fp16,phi_fp16_500img_20260111_071845,500,5,0,7680.131,6792.893,12255.807,0.149,0.147,0.214,,True,,,100.0,
dell_output/smolvlm2/smol_bf16_500img_20260112_092951,dell,smolvlm2,HuggingFaceTB/SmolVLM2-2.2B-Instruct,smolvlm,bf16,smol_bf16_500img_20260112_092951,500,5,0,1419.534,1373.766,2045.648,0.789,0.728,1.163,,True,,,100.0,
dell_output/smolvlm2/smol_fp16_500img_20260111_232343,dell,smolvlm2,HuggingFaceTB/SmolVLM2-2.2B-Instruct,smolvlm,fp16,smol_fp16_500img_20260111_232343,500,5,0,1462.874,1407.65,2070.352,0.765,0.71,1.143,,True,,,100.0,
orin_output/moondream2/moondream2/moondream2_bf16_500img_20260118_161628,orin,moondream2,vikhyatk/moondream2,moondream,bf16,moondream2_bf16_500img_20260118_161628,500,5,0,2276.345,2216.255,2901.662,0.461,0.451,0.601,,True,,,100.0,
orin_output/moondream2/moondream2/moondream2_fp16_500img_20260119_122859,orin,moondream2,vikhyatk/moondream2,moondream,fp16,moondream2_fp16_500img_20260119_122859,500,5,0,2343.293,2289.704,2983.087,0.448,0.437,0.585,,True,,,100.0,
orin_output/phi/phi_bf16_500img_20260110_093006,orin,phi,microsoft/Phi-3.5-vision-instruct,phi,bf16,phi_bf16_500img_20260110_093006,500,5,0,9305.105,9329.409,11120.19,0.112,0.107,0.143,,True,,,100.0,
orin_output/phi/phi_fp16_500img_20260110_215330,orin,phi,microsoft/Phi-3.5-vision-instruct,phi,fp16,phi_fp16_500img_20260110_215330,500,5,0,9536.148,9556.655,11370.446,0.109,0.105,0.137,,True,,,100.0,
orin_output/smolvlm2/smolvlm2_bf16_500img_20260117_132102,orin,smolvlm2,HuggingFaceTB/SmolVLM2-2.2B-Instruct,smolvlm,bf16,smolvlm2_bf16_500img_20260117_132102,500,5,0,4554.122,4447.072,6017.991,0.233,0.225,0.311,,True,,,100.0,
orin_output/smolvlm2/smolvlm2_fp16_500img_20260116_204859,orin,smolvlm2,HuggingFaceTB/SmolVLM2-2.2B-Instruct,smolvlm,fp16,smolvlm2_fp16_500img_20260116_204859,500,5,0,4430.863,4306.445,5829.927,0.241,0.232,0.328,,True,,,100.0,
thor_output/gemma3n/gemma3n_bf16_500img_20260119_162002,thor,gemma3n,google/gemma-3n-E4B-it,gemma,bf16,gemma3n_bf16_500img_20260119_162002,500,5,0,4385.366,4319.384,5574.235,0.238,0.232,0.304,,True,,,100.0,
thor_output/gemma3n/gemma3n_fp16_500img_20260120_003147,thor,gemma3n,google/gemma-3n-E4B-it,gemma,fp16,gemma3n_fp16_500img_20260120_003147,500,5,2500,,,,,,,,True,,,0.0,
thor_output/internvl/internvl_bf16_500img_20260117_141836,thor,internvl,OpenGVLab/InternVL2-2B,internvl,bf16,internvl_bf16_500img_20260117_141836,500,5,0,2657.577,2566.656,4024.473,0.449,0.39,0.727,,True,,,100.0,
thor_output/internvl/internvl_fp16_500img_20260116_150642,thor,internvl,OpenGVLab/InternVL2-2B,internvl,fp16,internvl_fp16_500img_20260116_150642,500,5,0,2563.407,2476.546,3880.828,0.462,0.404,0.733,,True,,,100.0,
thor_output/llava/llava_fp16_500img_20260118_162325,thor,llava,ICTNLP/llava-mini-llama-3.1-8b,llava,fp16,llava_fp16_500img_20260118_162325,500,5,0,7358.925,8853.527,8894.184,0.208,0.113,0.489,,True,,,100.0,
thor_output/llava/test_bf16_500img_20260109_164224,thor,llava,ICTNLP/llava-mini-llama-3.1-8b,llava,bf16,test_bf16_20260109_164224,500,5,0,7403.701,8842.607,8875.517,0.202,0.113,0.475,,True,,,100.0,
thor_output/moondream2/moondream_bf16_500img_20260117_173741,thor,moondream2,vikhyatk/moondream2,moondream,bf16,moondream_bf16_500img_20260117_173741,500,5,0,894.592,872.353,1174.405,1.19,1.146,1.609,,True,,,100.0,
thor_output/moondream2/moondream_fp16_500img_20260116_073406,thor,moondream2,vikhyatk/moondream2,moondream,fp16,moondream_fp16_500img_20260116_073406,500,5,0,894.399,874.377,1171.522,1.19,1.144,1.601,,True,,,100.0,
thor_output/phi/phi_bf16_500img_20260114_132153,thor,phi,microsoft/Phi-3.5-vision-instruct,phi,bf16,phi_bf16_500img_20260114_132153,500,5,0,6206.209,5530.637,9799.958,0.179,0.181,0.245,,True,,,100.0,
thor_output/phi/phi_fp16_500img_20260114_212019,thor,phi,microsoft/Phi-3.5-vision-instruct,phi,fp16,phi_fp16_500img_20260114_212019,500,5,0,6273.467,5616.3,9885.422,0.176,0.178,0.239,,True,,,100.0,
thor_output/smolvlm2/smolvlm_bf16_500img_20260119_141111,thor,smolvlm2,HuggingFaceTB/SmolVLM2-2.2B-Instruct,smolvlm,bf16,smolvlm_bf16_500img_20260119_141111,500,5,0,2078.687,2034.026,2705.893,0.507,0.492,0.666,,True,,,100.0,
